ID,Studies,Publication title,Reference,Publication year,Replicates,Region,Country,Climate,Latitude (N positive; S negative),Longitude (E positive; W negative),Annual average precipitation (mm),Annual average temperature,Sand (%),Silt (%),Clay (%),Soil Organic Carbon (%),Nitrogen content (%),H2O_pH,EF (%),N rate (kg N/ha),Ecosystem
1208,165,Polymer-Coated Urea Maintains Potato Yields and Reduces Nitrous Oxide Emissions in a Minnesota Loamy Sand,Hyatt et al.,2010,3,North America,USA,Temperate,45.38,-93.88,752,6.8,82,10,8,1.392,NA,4.9,0.141851852,270,Cropland
1209,165,Polymer-Coated Urea Maintains Potato Yields and Reduces Nitrous Oxide Emissions in a Minnesota Loamy Sand,Hyatt et al.,2010,3,North America,USA,Temperate,45.38,-93.88,752,6.8,82,10,8,1.392,NA,4.9,0.14962963,270,Cropland
1210,165,Polymer-Coated Urea Maintains Potato Yields and Reduces Nitrous Oxide Emissions in a Minnesota Loamy Sand,Hyatt et al.,2010,3,North America,USA,Temperate,45.38,-93.88,752,6.8,82,10,8,1.392,NA,4.9,0.239259259,270,Cropland
1211,166,Nitrous oxide emissions from a fertilized and grazed grassland in the South East of Ireland,Hyde et al.,2006,3,Europe,Ireland,Temperate,52.30,-6.60,1014,10,44,38,18,3.2,0.28,5.8,0.995555556,225,Cropland
1212,166,Nitrous oxide emissions from a fertilized and grazed grassland in the South East of Ireland,Hyde et al.,2006,3,Europe,Ireland,Temperate,52.30,-6.60,1014,10,44,38,18,3.2,0.28,5.8,2.138461538,390,Cropland
1213,166,Nitrous oxide emissions from a fertilized and grazed grassland in the South East of Ireland,Hyde et al.,2006,3,Europe,Ireland,Temperate,52.30,-6.60,1014,10,44,38,18,3.2,0.28,5.8,6.155555556,225,Cropland
1214,166,Nitrous oxide emissions from a fertilized and grazed grassland in the South East of Ireland,Hyde et al.,2006,3,Europe,Ireland,Temperate,52.30,-6.60,1014,10,44,38,18,3.2,0.28,5.8,6.223076923,390,Cropland
1215,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0.068088889,90,Cropland
1216,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0,180,Cropland
1217,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0,270,Cropland
1218,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,-0.018119444,360,Cropland
1219,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,-0.166844444,90,Cropland
1220,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,-0.224566667,180,Cropland
1221,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,-0.038103704,270,Cropland
1222,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,-0.081444444,360,Cropland
1223,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0.517,90,Cropland
1224,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0.314805556,180,Cropland
1225,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0.20987037,270,Cropland
1226,167,Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009 Malaysian Journal of Soil Science",2009,3,Asia,China,Subtropical,30.83,120.67,1205.5,28.1,29.5,50.5,20.2,0.754,0.07,7.7,0.157402778,360,Cropland
1227,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,816,9.4,NA,NA,NA,2.4,0.2,6.4,0.128888148,135,Cropland
1228,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,816,9.4,NA,NA,NA,2.4,0.2,6.4,0.150492,225,Cropland
1229,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,637,9.4,NA,NA,NA,2.4,0.2,6.4,0.070839407,135,Cropland
1230,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,637,9.4,NA,NA,NA,2.4,0.2,6.4,0.074558311,225,Cropland
1231,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,852,9.4,NA,NA,NA,2.4,0.2,6.4,0.313502444,135,Cropland
1232,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,852,9.4,NA,NA,NA,2.4,0.2,6.4,0.1776468,225,Cropland
1233,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,816,9.4,NA,NA,NA,2.4,0.2,6.4,0.303034222,135,Cropland
1234,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,816,9.4,NA,NA,NA,2.4,0.2,6.4,0.170668978,225,Cropland
1235,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,637,9.4,NA,NA,NA,2.4,0.2,6.4,0.040673333,135,Cropland
1236,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,637,9.4,NA,NA,NA,2.4,0.2,6.4,0.027184444,225,Cropland
1237,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,852,9.4,NA,NA,NA,2.4,0.2,6.4,0.202049481,135,Cropland
1238,168,Does Nitrogen Fertilizer Application Rate to Corn Affect Nitrous Oxide Emissions from the Rotated Soybean Crop?,Iqbal et al.,2015,4,North America,USA,Temperate,42.02,-93.77,852,9.4,NA,NA,NA,2.4,0.2,6.4,0.176247467,225,Cropland
1239,169,Nitrous oxide and nitric oxide emissions from lowland rice cultivation with urea deep placement and alternate wetting and drying irrigation,Islam et al. ,2018,3,Asia,Bangladesh,Subtropical,23.98,90.40,2187,22.7,NA,NA,NA,1.27,0.13,6,0.856730769,78,Cropland
1240,169,Nitrous oxide and nitric oxide emissions from lowland rice cultivation with urea deep placement and alternate wetting and drying irrigation,Islam et al. ,2018,3,Asia,Bangladesh,Subtropical,23.98,90.40,2187,22.7,NA,NA,NA,1.27,0.13,6,0.420826923,104,Cropland
1241,169,Nitrous oxide and nitric oxide emissions from lowland rice cultivation with urea deep placement and alternate wetting and drying irrigation,Islam et al. ,2018,3,Asia,Bangladesh,Subtropical,23.98,90.40,2187,24.5,NA,NA,NA,1.27,0.13,6,0.119705128,78,Cropland
1242,169,Nitrous oxide and nitric oxide emissions from lowland rice cultivation with urea deep placement and alternate wetting and drying irrigation,Islam et al. ,2018,3,Asia,Bangladesh,Subtropical,23.98,90.40,2187,24.5,NA,NA,NA,1.27,0.13,6,0.044586538,104,Cropland
1243,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,1.915,100,Cropland
1244,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,1.4925,200,Cropland
1245,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,1.195,100,Cropland
1246,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.9725,200,Cropland
1247,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.58,100,Cropland
1248,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.52,200,Cropland
1249,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.677777778,270,Cropland
1250,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.12,100,Cropland
1251,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.14,200,Cropland
1252,170,Effect of controlled-release fertilizer on nitrous oxide emission from a winter wheat field,Ji et al.,2012,3,Asia,China,Subtropical,31.97,117.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.225925926,270,Cropland
1253,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.095,240,Cropland
1254,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.137083333,240,Cropland
1255,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.147916667,240,Cropland
1256,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.054583333,240,Cropland
1257,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.617083333,240,Cropland
1258,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.527083333,240,Cropland
1259,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.26875,240,Cropland
1260,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.180416667,240,Cropland
1261,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.157916667,240,Cropland
1262,171,"Effect of controlled-release fertilizer on mitigation
of N2O emission from paddy field in South China:
a multi-year field observation",Ji et al.,2013,3,Asia,China,Subtropical,31.97,119.30,1018.6,15.1,17,69,14,1.1,0.17,6.9,0.1425,240,Cropland
1263,172,Assessment of reactive nitrogen mitigation potential of different nitrogen treatments under direct-seeded rice and wheat cropping system,Jiang et al.,2018,3,Asia,China,Subtropical,32.10,119.20,1200,15,NA,NA,NA,1.836,0.211,6.1,1.165,200,Cropland
1264,172,Assessment of reactive nitrogen mitigation potential of different nitrogen treatments under direct-seeded rice and wheat cropping system,Jiang et al.,2018,3,Asia,China,Subtropical,32.10,119.20,1200,15,NA,NA,NA,1.836,0.211,6.1,1.355,200,Cropland
1265,172,Assessment of reactive nitrogen mitigation potential of different nitrogen treatments under direct-seeded rice and wheat cropping system,Jiang et al.,2018,3,Asia,China,Subtropical,32.10,119.20,1200,15,NA,NA,NA,1.836,0.211,6.1,0.705,200,Cropland
1266,172,Assessment of reactive nitrogen mitigation potential of different nitrogen treatments under direct-seeded rice and wheat cropping system,Jiang et al.,2018,3,Asia,China,Subtropical,32.10,119.20,1200,15,NA,NA,NA,1.836,0.211,6.1,0.61,200,Cropland
1267,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.116,250,Cropland
1268,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.164,250,Cropland
1269,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.216,250,Cropland
1270,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.22,250,Cropland
1271,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.58,300,Cropland
1272,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,1.06,300,Cropland
1273,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,1.323333333,300,Cropland
1274,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,1.036666667,300,Cropland
1275,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.766666667,300,Cropland
1276,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.776666667,300,Cropland
1277,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.73,300,Cropland
1278,173,Nitrous oxide emissions from Chinese cropland fertilized with a range of slow-release nitrogen compounds,Jiang et al.,2010,3,Asia,China,Subtropical,32,118.8,1012,15.4,4,45,51,1.31,0.11,6.7,0.526666667,300,Cropland
1279,174,"N2O emission from energy crop fields of Miscanthus ""Giganteus"" and winter rye",Jorgensen et al.,1997,3,Europe,Denmark,Temperate,57.55,10.25,748,9,75,17,5,1.2,0.09,6.3,0.816,75,Cropland
1280,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.02,300,Cropland
1281,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.09,300,Cropland
1282,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.14,300,Cropland
1283,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.1,98,Cropland
1284,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.2,66,Cropland
1285,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.1,104,Cropland
1286,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.75,300,Cropland
1287,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.52,300,Cropland
1288,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.23,300,Cropland
1289,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.25,300,Cropland
1290,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.97,75,Cropland
1291,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.46,62,Cropland
1292,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.1,50,Cropland
1293,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,3,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.3,122,Cropland
1294,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,4,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,1.196,250,Cropland
1295,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,4,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.136,250,Cropland
1296,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,4,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,1.636,250,Cropland
1297,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,4,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.032,250,Cropland
1298,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,4,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.416,250,Cropland
1299,175,Processes and factors controlling N2O production in an intensively managed low carbon calcareous soil under sub-humid monsoon conditions,Ju et al.,2011,4,Asia,China,Temperate,40.13,116.47,640,11.5,27,57,16,1.23549884,0.119,7.9,0.044,250,Cropland
1300,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0,105,Cropland
1301,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.142857143,210,Cropland
1302,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,-0.32967033,91,Cropland
1303,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.163934426,183,Cropland
1304,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,-0.615384615,65,Cropland
1305,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.307692308,130,Cropland
1306,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.666666667,45,Cropland
1307,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.333333333,90,Cropland
1308,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,-0.352941176,85,Cropland
1309,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.529411765,170,Cropland
1310,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.273972603,73,Cropland
1311,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.547945205,146,Cropland
1312,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.571428571,70,Cropland
1313,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.428571429,140,Cropland
1314,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,-0.363636364,55,Cropland
1315,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,1,110,Cropland
1316,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,1.142857143,35,Cropland
1317,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.428571429,70,Cropland
1318,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.666666667,45,Cropland
1319,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,0.4,100,Cropland
1320,176,Nitrous oxide release from arable soil: Importance of perennial forage crops,Kaiser et al. 1998 SBB,1998,3,Europe,Germany,Temperate,52.28,10.45,677,13,NA,NA,19,1.1,NA,8.1,-1.176470588,85,Cropland
